Network          Next Hop            Metric LocPrf Weight Path

Route Distinguisher: 7303:646

*>i  10.122.36.41/32  181.88.172.183           0    100      0 ?

*>i  10.122.37.0/27   181.88.172.183           0    100      0 ?

*>i  10.122.37.96/27  181.88.172.183           0    100      0 ?

*>i  10.122.37.128/28 181.88.172.199           0    100      0 ?

*    10.122.37.128/27 10.100.0.110                           0 10481 i

*>                    10.100.0.110                           0 10481 i

*>i  10.122.37.144/28 181.88.172.199           0    100      0 ?

*>i  10.122.37.160/27 181.88.172.183           0    100      0 ?

*>i  10.122.37.192/27 186.153.154.182          0    100      0 ?

*>i  10.122.37.224/27 181.88.172.181           0    100      0 ?

*>i  10.122.38.0/28   190.225.250.50           0    100      0 ?

*>i  10.122.38.16/28  181.88.172.60            0    100      0 ?

*>i  10.122.38.48/28  190.225.250.50           0    100      0 ?

